# ----------------------------------------------------------------------------
# Dataset: number of interactions and nodes in plant-frugivore interaction
# networks.
# Pedro Jordano. Sevilla.. 21 December 2023.
#
# id: number ID. of dataset.
# type: sp, species-based network; ind: individual-based network.
# sp: plant species name and family.
# P: number of plant species (for sp-based netwotks) or plant individuals (for 
#    ind-based networks) studied. 
# A: number of animal species.
# S: total number of nodes in the network (A+P).
# I: number of distinct interactions in network.
# C: connectance (C= i/(A+P)).
# biome: t, tropical; nt: non-tropical.
# site: study locality.
# reference: Bibliographic reference.
# node: refers to the total number of species or of individuals (P+A) in 
#       the adjacency matrix.
# 
# Reference for data: Quintero et al. 2025. 
#                     PNAS, doi= 10.1101/2024.02.02.578595.
# ----------------------------------------------------------------------------
id	code	type	sp	P	A	S	I	C	biome	site	reference
30	indw30	ind	Ziziphus oenopolia (Rhamnaceae)	15	13	28	102	0,5231	nt	NA	Ramaswami, G., Somnath, P., & Quader, S. (2017). Plant-disperser mutualisms in a semi-arid habitat invaded by Lantana camara L. Plant Ecology, 218, 935-946.
31	indw31	ind	Chamaerops humilis (Arecaceae)	39	6	45	76	0,3248	nt	Matasgordas	Jácome-Flores, M. E. et al. 2020. Interaction motifs variability in a Mediterranean palm under environmental disturbances: the mutualism–antagonism continuum. Oikos 129: 367–379.
32	indw32	ind	Chamaerops humilis (Arecaceae)	24	6	30	57	0,3958	nt	Martinazo	Jácome-Flores, M. E. et al. 2020. Interaction motifs variability in a Mediterranean palm under environmental disturbances: the mutualism–antagonism continuum. Oikos 129: 367–379.
33	indw33	ind	Miconia irwinii (Melastomataceae)	15	9	24	59	0,4370	t	NA	Guerra, T. J. et al. 2017. Intraspecific variation in fruit–frugivore interactions: effects of fruiting neighborhood and consequences for seed dispersal. Oecologia 185: 233–243.
34	indw34	ind	Juniperus macrocarpa (Cupressaceae)	26	11	37	72	0,2517	nt	NA	Villalva, P., Arroyo-Correa, B., Calvo, G., Homet, P., Isla, J., Mendoza, I., Moracho, E., Quintero, E., Rodríguez-Sánchez, F., & Jordano, P. (2023). FRUGIVORY CAMTRAP: A dataset of plant-animal interactions recorded with camera traps. https://doi.org/10.20350/DIGITALCSIC/15623
35	indw35	ind	Prosopis flexuosa (Fabaceae)	26	9	35	72	0,3077	nt	Araya-San Ignacio	Miguel, M.F., Jordano, P., Tabeni, S. and Campos, C.M. (2018), Context-dependency and anthropogenic effects on individual plant–frugivore networks. Oikos, 127: 1045-1059.
36	indw36	ind	Prosopis flexuosa (Fabaceae)	28	10	38	84	0,3000	nt	El Bonito	Miguel, M.F., Jordano, P., Tabeni, S. and Campos, C.M. (2018), Context-dependency and anthropogenic effects on individual plant–frugivore networks. Oikos, 127: 1045-1059.
37	indw37	ind	Prosopis flexuosa (Fabaceae)	54	10	64	112	0,2074	nt	El Doménico	Miguel, M.F., Jordano, P., Tabeni, S. and Campos, C.M. (2018), Context-dependency and anthropogenic effects on individual plant–frugivore networks. Oikos, 127: 1045-1059.
38	indw38	ind	Prosopis flexuosa (Fabaceae)	35	8	43	61	0,2179	nt	MaB Ñacuñán Reserve Protected 1 	Miguel, M.F., Jordano, P., Tabeni, S. and Campos, C.M. (2018), Context-dependency and anthropogenic effects on individual plant–frugivore networks. Oikos, 127: 1045-1059.
39	indw39	ind	Prosopis flexuosa (Fabaceae)	29	9	38	99	0,3793	nt	MaB Ñacuñán Reserve Protected 2 	Miguel, M.F., Jordano, P., Tabeni, S. and Campos, C.M. (2018), Context-dependency and anthropogenic effects on individual plant–frugivore networks. Oikos, 127: 1045-1059.
