"Layer";"Node";"Label";"Community"
"3-Multi";77;"Poch";1
"3-Multi";78;"Erub";1
"3-Multi";79;"Pate";1
"3-Multi";80;"Fcoe";1
"3-Multi";81;"Scon";1
"3-Multi";82;"Satr";1
"3-Multi";83;"Tvis";1
"3-Multi";84;"Scom";1
"3-Multi";85;"Smel";1
"3-Multi";86;"Sbor";1
"3-Multi";87;"Pcae";1
"3-Multi";88;"Ppho";1
"3-Multi";89;"Pcri";1
"3-Multi";90;"Pmaj";1
"3-Multi";91;"Scan";1
"3-Multi";92;"Seur";1
"3-Multi";93;"Dmaj";1
"3-Multi";94;"AvNI";1
"Aggr";1;"1933";1
"Aggr";2;"1931";1
"Aggr";3;"1932";1
"Aggr";4;"1934";1
"Aggr";5;"1936";1
"Aggr";6;"1937";1
"Aggr";7;"1938";1
"Aggr";8;"1939";1
"Aggr";9;"1940";1
"Aggr";10;"1921";1
"Aggr";11;"1823";1
"Aggr";12;"1824";1
"Aggr";13;"1820";1
"Aggr";14;"1825";1
"Aggr";15;"1929";1
"Aggr";16;"8801";1
"Aggr";17;"8808";1
"Aggr";18;"8814";1
"Aggr";19;"8865";1
"Aggr";20;"Ymah";1
"Aggr";21;"Hfuc";1
"Aggr";22;"Ipod_larv";1
"Aggr";23;"Hpru";1
"Aggr";24;"OrNI";1
"Aggr";25;"Mcer";1
"Aggr";26;"Ainf";1
"Aggr";27;"FuNI";1
"Aggr";28;"Tdef";1
"Aggr";29;"UNGU";1
"Aggr";30;"NI";1
"Aggr";31;"Htyt";1
"Aggr";32;"Ipod";1
"Aggr";33;"Vcar";1
"Aggr";34;"Pves";1
"Aggr";35;"Bprm";1
"Aggr";36;"Bprw";1
"Aggr";37;"Bpaw";1
"Aggr";38;"Bpaq";1
"Aggr";39;"Btew";1
"Aggr";40;"Bteq";1
"Aggr";41;"Xvio";1
"Aggr";42;"Amel";1
"Aggr";43;"Oruf";1
"Aggr";44;"Aful";1
"Aggr";45;"Asyn";1
"Aggr";46;"Atri";1
"Aggr";47;"Acon";1
"Aggr";48;"Atib";1
"Aggr";49;"Aalb";1
"Aggr";50;"Aass";1
"Aggr";51;"Hqua";1
"Aggr";52;"Htri";1
"Aggr";53;"Hsca";1
"Aggr";54;"Lxan";1
"Aggr";55;"Sgib";1
"Aggr";56;"Mcen";1
"Aggr";57;"Anig";1
"Aggr";58;"Eten";1
"Aggr";59;"Epra";1
"Aggr";60;"Earb";1
"Aggr";61;"Cglo";1
"Aggr";62;"Mfuc";1
"Aggr";63;"Dalb";1
"Aggr";64;"Svit";1
"Aggr";65;"Srib";1
"Aggr";66;"Cber";1
"Aggr";67;"Cvom";1
"Aggr";68;"Gorn";1
"Aggr";69;"Prud";1
"Aggr";70;"Tcor";1
"Aggr";71;"AsNI";1
"Aggr";72;"EmNI";1
"Aggr";73;"DiNI";1
"Aggr";74;"Cpal";1
"Aggr";75;"Ggla";1
"Aggr";76;"Tmer";1
"Aggr";77;"Poch";1
"Aggr";78;"Erub";1
"Aggr";79;"Pate";1
"Aggr";80;"Fcoe";1
"Aggr";81;"Scon";1
"Aggr";82;"Satr";1
"Aggr";83;"Tvis";1
"Aggr";84;"Scom";1
"Aggr";85;"Smel";1
"Aggr";86;"Sbor";1
"Aggr";87;"Pcae";1
"Aggr";88;"Ppho";1
"Aggr";89;"Pcri";1
"Aggr";90;"Pmaj";1
"Aggr";91;"Scan";1
"Aggr";92;"Seur";1
"Aggr";93;"Dmaj";1
"Aggr";94;"AvNI";1
