"plant"	"pollinator"	"w"
"206"	"1936"	"Syrphus.vitripennis"	2
"207"	"1936"	"Syrphus.ribessi"	0
"208"	"1936"	"Criorhina.berberina"	0
"209"	"1936"	"Calliphora.vomitoria"	32
"210"	"1936"	"Gonia.ornata"	8
"211"	"1936"	"Pollenia.rudis"	3
"212"	"1936"	"Tachina.corsicana"	0
"213"	"1936"	"Asilidae.NI"	10
"214"	"1936"	"Empididae.NI"	8
"215"	"1936"	"Diptera.NI"	0
"216"	"1937"	"Hemaris.tityus"	0
"217"	"1937"	"Iphiclides.podalirius.Ad"	0
"218"	"1937"	"Vanessa.cardui"	0
"219"	"1937"	"Psithyrus.vestalis.obenbergeri"	0
"220"	"1937"	"Bombus.pratorum.m."	0
"221"	"1937"	"Bombus.pratorum.wk."	0
"222"	"1937"	"Bombus.pascuorum.wk."	0
"223"	"1937"	"Bombus.pascuorum.q."	0
"224"	"1937"	"Bombus.terrestris.wk."	1
"225"	"1937"	"Bombus.terrestris.q."	0
"226"	"1937"	"Xylocopa.violacea"	0
"227"	"1937"	"Apis.mellifera"	1
"228"	"1937"	"Osmia.rufa"	0
"229"	"1937"	"Andrena.fulva"	34
"230"	"1937"	"Andrena.synadelpha.nigroaenea"	0
"231"	"1937"	"Andrena.trimmerana"	0
"232"	"1937"	"Andrena.congruens"	0
"233"	"1937"	"Andrena.tibialis.corvina"	0
"234"	"1937"	"Andrena.albopunctata.morio"	0
"235"	"1937"	"Andrena.assimilis"	0
"236"	"1937"	"Halictus.quadricinctus"	0
"237"	"1937"	"Halictus.tridivisus"	0
"238"	"1937"	"Halictus.scabiosae"	2
"239"	"1937"	"Lasioglossum.xanthopum"	0
"240"	"1937"	"Sphecodes.gibbus"	0
"241"	"1937"	"Megachile.centuncularis"	0
"242"	"1937"	"Ancistrocerus.nigricornis"	0
"243"	"1937"	"Eristalis.tenax"	0
"244"	"1937"	"Eristalis.pratorum"	0
"245"	"1937"	"Eristalis.arbustorum"	0
"246"	"1937"	"Cheilosia.glossa"	0
"247"	"1937"	"Mallota.fuciformis"	0
"248"	"1937"	"Dasysyrphus.albostriatus"	0
"249"	"1937"	"Syrphus.vitripennis"	0
"250"	"1937"	"Syrphus.ribessi"	0
"251"	"1937"	"Criorhina.berberina"	0
"252"	"1937"	"Calliphora.vomitoria"	8
"253"	"1937"	"Gonia.ornata"	2
"254"	"1937"	"Pollenia.rudis"	0
"255"	"1937"	"Tachina.corsicana"	0
"256"	"1937"	"Asilidae.NI"	0
"257"	"1937"	"Empididae.NI"	0
"258"	"1937"	"Diptera.NI"	0
"259"	"1938"	"Hemaris.tityus"	0
"260"	"1938"	"Iphiclides.podalirius.Ad"	0
"261"	"1938"	"Vanessa.cardui"	0
"262"	"1938"	"Psithyrus.vestalis.obenbergeri"	1
"263"	"1938"	"Bombus.pratorum.m."	0
"264"	"1938"	"Bombus.pratorum.wk."	4
"265"	"1938"	"Bombus.pascuorum.wk."	1
"266"	"1938"	"Bombus.pascuorum.q."	0
"267"	"1938"	"Bombus.terrestris.wk."	1
"268"	"1938"	"Bombus.terrestris.q."	0
"269"	"1938"	"Xylocopa.violacea"	0
"270"	"1938"	"Apis.mellifera"	0
"271"	"1938"	"Osmia.rufa"	0
"272"	"1938"	"Andrena.fulva"	3
"273"	"1938"	"Andrena.synadelpha.nigroaenea"	0
"274"	"1938"	"Andrena.trimmerana"	0
"275"	"1938"	"Andrena.congruens"	0
"276"	"1938"	"Andrena.tibialis.corvina"	0
"277"	"1938"	"Andrena.albopunctata.morio"	0
"278"	"1938"	"Andrena.assimilis"	0
"279"	"1938"	"Halictus.quadricinctus"	1
"280"	"1938"	"Halictus.tridivisus"	0
"281"	"1938"	"Halictus.scabiosae"	0
"282"	"1938"	"Lasioglossum.xanthopum"	0
"283"	"1938"	"Sphecodes.gibbus"	0
"284"	"1938"	"Megachile.centuncularis"	0
"285"	"1938"	"Ancistrocerus.nigricornis"	0
"286"	"1938"	"Eristalis.tenax"	3
"287"	"1938"	"Eristalis.pratorum"	0
"288"	"1938"	"Eristalis.arbustorum"	0
"289"	"1938"	"Cheilosia.glossa"	2
"290"	"1938"	"Mallota.fuciformis"	0
"291"	"1938"	"Dasysyrphus.albostriatus"	0
"292"	"1938"	"Syrphus.vitripennis"	2
"293"	"1938"	"Syrphus.ribessi"	0
"294"	"1938"	"Criorhina.berberina"	0
"295"	"1938"	"Calliphora.vomitoria"	49
"296"	"1938"	"Gonia.ornata"	1
"297"	"1938"	"Pollenia.rudis"	7
"298"	"1938"	"Tachina.corsicana"	0
"299"	"1938"	"Asilidae.NI"	0
"300"	"1938"	"Empididae.NI"	0
"301"	"1938"	"Diptera.NI"	0
"302"	"1939"	"Hemaris.tityus"	0
"303"	"1939"	"Iphiclides.podalirius.Ad"	0
"304"	"1939"	"Vanessa.cardui"	0
"305"	"1939"	"Psithyrus.vestalis.obenbergeri"	0
"306"	"1939"	"Bombus.pratorum.m."	0
"307"	"1939"	"Bombus.pratorum.wk."	0
"308"	"1939"	"Bombus.pascuorum.wk."	0
"309"	"1939"	"Bombus.pascuorum.q."	1
"310"	"1939"	"Bombus.terrestris.wk."	0
"311"	"1939"	"Bombus.terrestris.q."	1
"312"	"1939"	"Xylocopa.violacea"	0
"313"	"1939"	"Apis.mellifera"	2
"314"	"1939"	"Osmia.rufa"	0
"315"	"1939"	"Andrena.fulva"	0
"316"	"1939"	"Andrena.synadelpha.nigroaenea"	0
"317"	"1939"	"Andrena.trimmerana"	0
"318"	"1939"	"Andrena.congruens"	0
"319"	"1939"	"Andrena.tibialis.corvina"	0
"320"	"1939"	"Andrena.albopunctata.morio"	0
"321"	"1939"	"Andrena.assimilis"	0
"322"	"1939"	"Halictus.quadricinctus"	0
"323"	"1939"	"Halictus.tridivisus"	0
"324"	"1939"	"Halictus.scabiosae"	0
"325"	"1939"	"Lasioglossum.xanthopum"	0
"326"	"1939"	"Sphecodes.gibbus"	0
"327"	"1939"	"Megachile.centuncularis"	0
"328"	"1939"	"Ancistrocerus.nigricornis"	0
"329"	"1939"	"Eristalis.tenax"	8
"330"	"1939"	"Eristalis.pratorum"	1
"331"	"1939"	"Eristalis.arbustorum"	3
"332"	"1939"	"Cheilosia.glossa"	6
"333"	"1939"	"Mallota.fuciformis"	0
"334"	"1939"	"Dasysyrphus.albostriatus"	1
"335"	"1939"	"Syrphus.vitripennis"	1
"336"	"1939"	"Syrphus.ribessi"	1
"337"	"1939"	"Criorhina.berberina"	0
"338"	"1939"	"Calliphora.vomitoria"	66
"339"	"1939"	"Gonia.ornata"	50
"340"	"1939"	"Pollenia.rudis"	2
"341"	"1939"	"Tachina.corsicana"	2
"342"	"1939"	"Asilidae.NI"	9
"343"	"1939"	"Empididae.NI"	32
"344"	"1939"	"Diptera.NI"	2
"345"	"1940"	"Hemaris.tityus"	0
"346"	"1940"	"Iphiclides.podalirius.Ad"	0
"347"	"1940"	"Vanessa.cardui"	0
"348"	"1940"	"Psithyrus.vestalis.obenbergeri"	0
"349"	"1940"	"Bombus.pratorum.m."	0
"350"	"1940"	"Bombus.pratorum.wk."	5
"351"	"1940"	"Bombus.pascuorum.wk."	1
"352"	"1940"	"Bombus.pascuorum.q."	0
"353"	"1940"	"Bombus.terrestris.wk."	8
"354"	"1940"	"Bombus.terrestris.q."	1
"355"	"1940"	"Xylocopa.violacea"	2
"356"	"1940"	"Apis.mellifera"	3
"357"	"1940"	"Osmia.rufa"	4
"358"	"1940"	"Andrena.fulva"	96
"359"	"1940"	"Andrena.synadelpha.nigroaenea"	1
"360"	"1940"	"Andrena.trimmerana"	1
"361"	"1940"	"Andrena.congruens"	14
"362"	"1940"	"Andrena.tibialis.corvina"	0
"363"	"1940"	"Andrena.albopunctata.morio"	1
"364"	"1940"	"Andrena.assimilis"	0
"365"	"1940"	"Halictus.quadricinctus"	1
"366"	"1940"	"Halictus.tridivisus"	1
"367"	"1940"	"Halictus.scabiosae"	1
"368"	"1940"	"Lasioglossum.xanthopum"	0
"369"	"1940"	"Sphecodes.gibbus"	2
