# A multilayer network using explicit format.
# Figure 3
*Vertices 94. Trees: 19; Animals: 75.
# node_id name
2 53 2 1 0
2 54 2 1 0
2 55 2 1 0
2 56 2 1 0
2 57 2 1 0
2 58 2 1 0
2 59 2 1 0
2 60 2 1 0
2 61 2 1 0
2 62 2 1 0
2 63 2 1 0
2 64 2 1 0
2 65 2 1 0
2 66 2 1 0
2 67 2 1 4
2 68 2 1 1
2 69 2 1 0
2 70 2 1 0
2 71 2 1 0
2 72 2 1 0
2 73 2 1 0
2 31 2 2 0
2 32 2 2 0
2 33 2 2 0
2 34 2 2 1.5
2 35 2 2 1
2 36 2 2 3
2 37 2 2 0
2 38 2 2 0.5
2 39 2 2 3
2 40 2 2 0.5
2 41 2 2 0.5
2 42 2 2 2
2 43 2 2 1
2 44 2 2 56
2 45 2 2 2.5
2 46 2 2 1
2 47 2 2 9
2 48 2 2 0.5
2 49 2 2 1
2 50 2 2 1.5
2 51 2 2 1
2 52 2 2 0
2 53 2 2 1
2 54 2 2 0
2 55 2 2 0
2 56 2 2 0
2 57 2 2 0
2 58 2 2 3
2 59 2 2 0
2 60 2 2 1
2 61 2 2 0
2 62 2 2 0
2 63 2 2 0
2 64 2 2 0
2 65 2 2 0
2 66 2 2 0
2 67 2 2 8
2 68 2 2 0.5
2 69 2 2 0
2 70 2 2 0
2 71 2 2 0
2 72 2 2 1
2 73 2 2 0
2 31 2 3 0
2 32 2 3 0
2 33 2 3 0
2 34 2 3 0
2 35 2 3 0
2 36 2 3 0
2 37 2 3 0
2 38 2 3 0
2 39 2 3 0.5
2 40 2 3 0
2 41 2 3 0.5
2 42 2 3 0
2 43 2 3 0
2 44 2 3 1
2 45 2 3 0
2 46 2 3 0
2 47 2 3 0
2 48 2 3 0
2 49 2 3 0
2 50 2 3 0
2 51 2 3 0
2 52 2 3 0
2 53 2 3 0
2 54 2 3 0
2 55 2 3 0
2 56 2 3 0
2 57 2 3 0
2 58 2 3 5
2 59 2 3 1
2 60 2 3 3
